epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1917,1.08494,4.51743,1.40366,0.01243,0.95919,0.12199,0.06912,0.75493,4.01479,1.44795,3.333e-05,3.333e-05,3.333e-05
2,53.9745,0.9613,4.37399,1.37674,0.01722,0.96047,0.16507,0.1026,0.7227,4.00909,1.425,7.52036e-05,7.52036e-05,7.52036e-05
3,82.0727,0.67697,4.28798,1.17168,0.01491,0.96916,0.19429,0.12217,0.81994,4.03548,1.50545,0.000114144,0.000114144,0.000114144
4,108.756,0.78371,3.83249,1.19554,0.0098,0.97919,0.20966,0.13463,0.94328,4.01281,1.64435,0.000150152,0.000150152,0.000150152
5,135.618,0.72132,3.5304,1.21666,0.00932,0.96175,0.19195,0.12272,1.05521,4.02026,1.76986,0.000183226,0.000183226,0.000183226
6,162.859,0.71395,2.99488,1.17893,0.01006,0.95336,0.17934,0.10458,1.10138,4.04038,1.85099,0.000213368,0.000213368,0.000213368
7,190.295,0.90915,2.959,1.35235,0.01096,0.94108,0.17769,0.10167,1.1151,4.08417,1.854,0.000240576,0.000240576,0.000240576
8,217.793,0.81498,3.2402,1.21952,0.01287,0.91649,0.17338,0.09903,1.1885,4.16851,1.92869,0.000264851,0.000264851,0.000264851
9,244.346,0.65595,2.48225,1.13861,0.01521,0.91569,0.11309,0.05621,1.43071,4.28611,2.18808,0.000286194,0.000286194,0.000286194
10,271.077,0.88866,3.02567,1.25336,0.01568,0.91783,0.09282,0.04409,1.5725,4.3265,2.37178,0.000304603,0.000304603,0.000304603
11,299.04,0.73087,2.63205,1.19267,0.01364,0.91202,0.11211,0.05118,1.57589,4.32708,2.4193,0.000320079,0.000320079,0.000320079
12,325.596,0.86749,3.16088,1.3199,0.01039,0.92883,0.15132,0.07205,1.6131,4.26336,2.55289,0.000332622,0.000332622,0.000332622
13,352.679,0.83221,2.71949,1.30498,0.6753,0.21177,0.11528,0.05489,1.60264,4.23566,2.66006,0.000342232,0.000342232,0.000342232
14,380.488,0.73664,2.45628,1.20214,0.75781,0.06548,0.10603,0.05103,1.57036,4.21472,2.59682,0.00034891,0.00034891,0.00034891
15,407.195,0.6316,2.41459,1.04532,0.84476,0.04102,0.13014,0.0667,1.46225,4.15642,2.39964,0.000352654,0.000352654,0.000352654
16,434.179,0.67311,2.3304,1.13872,0.90687,0.07486,0.16837,0.08473,1.42032,4.13468,2.2966,0.000353465,0.000353465,0.000353465
17,461.532,0.6126,1.98377,1.09183,0.90603,0.10321,0.20995,0.10192,1.44827,4.10646,2.28631,0.000351343,0.000351343,0.000351343
18,488.311,0.73205,2.81333,1.17863,0.98037,0.04313,0.22777,0.11797,1.49799,4.12872,2.24039,0.000346288,0.000346288,0.000346288
19,515.589,0.66226,2.23086,1.11365,0.99122,0.05706,0.23218,0.12312,1.44139,4.08129,2.1929,0.0003383,0.0003383,0.0003383
20,542.42,0.61262,2.22888,1.07381,0.95925,0.09245,0.22793,0.12097,1.40159,4.03729,2.16851,0.000327378,0.000327378,0.000327378
21,569.089,0.7461,4.01358,1.29989,0.95267,0.10367,0.20719,0.11541,1.29377,3.99718,2.06828,0.000313524,0.000313524,0.000313524
22,595.203,0.46039,3.24314,0.98404,0.91044,0.06234,0.18807,0.10231,1.25488,3.99702,2.03062,0.000296737,0.000296737,0.000296737
23,621.209,0.49526,3.54203,1.06516,0.89747,0.08817,0.18018,0.09844,1.23759,3.97593,2.03151,0.000277017,0.000277017,0.000277017
24,648.046,0.48079,3.46928,1.07263,0.88451,0.11868,0.19387,0.10023,1.23701,3.92143,2.0371,0.000254363,0.000254363,0.000254363
25,675.931,0.50379,3.59681,1.11546,0.87419,0.13499,0.20121,0.10508,1.22438,3.89562,2.01432,0.000228777,0.000228777,0.000228777
26,703.751,0.51042,3.15486,1.10409,0.8583,0.15165,0.20579,0.10736,1.22763,3.90079,2.00499,0.000194425,0.000194425,0.000194425
27,734.599,0.4915,3.15089,1.05671,0.85471,0.14354,0.19557,0.10274,1.23406,3.88892,2.02371,0.000157762,0.000157762,0.000157762
28,770.775,0.49133,3.06565,1.02162,0.84719,0.13741,0.1915,0.10224,1.23357,3.87951,2.02682,0.000121099,0.000121099,0.000121099
29,804.983,0.43863,2.85154,0.97781,0.84579,0.13782,0.19428,0.10549,1.2403,3.87274,2.04183,8.4436e-05,8.4436e-05,8.4436e-05
30,841.033,0.49293,2.9586,1.03397,0.84464,0.1392,0.19432,0.10792,1.24817,3.86276,2.04932,4.7773e-05,4.7773e-05,4.7773e-05
